"flight_date","source","destination","price","currency","company","scrape_date"
"2023-03-06 06:30:00","LIS","LGW",259.18,"EUR","EasyJet","2023-03-04"
"2023-03-06 06:45:00","BSL","AMS",50.22,"EUR","EasyJet","2023-02-27"
"2023-03-06 06:45:00","BSL","AMS",76.7,"EUR","EasyJet","2023-03-04"
"2023-03-06 07:00:00","BSL","LIS",121.26,"EUR","EasyJet","2023-02-27"
"2023-03-06 07:00:00","BSL","LIS",110.35,"EUR","EasyJet","2023-03-04"
"2023-03-06 08:45:00","NCE","BSL",81.05,"EUR","EasyJet","2023-02-27"
"2023-03-06 08:45:00","NCE","BSL",129.55,"EUR","EasyJet","2023-03-04"
"2023-03-06 10:30:00","BSL","BOD",96.89,"EUR","EasyJet","2023-02-27"
"2023-03-06 11:15:00","MLA","OTP",34.24,"EUR","RyanAir","2023-02-27"
"2023-03-06 13:40:00","LIS","BCN",283.38,"EUR","EasyJet","2023-02-27"
"2023-03-06 15:00:00","OTP","MLA",109.44,"EUR","RyanAir","2023-02-27"
"2023-03-06 17:15:00","BSL","OPO",72.9,"EUR","EasyJet","2023-02-27"
"2023-03-06 17:15:00","BSL","OPO",86.24,"EUR","EasyJet","2023-03-04"
"2023-03-06 19:00:00","AMS","BSL",88.42,"EUR","EasyJet","2023-02-27"
"2023-03-06 19:00:00","AMS","BSL",95.42,"EUR","EasyJet","2023-03-04"
"2023-03-06 19:10:00","BSL","NCE",50.22,"EUR","EasyJet","2023-02-27"
"2023-03-06 19:10:00","BSL","NCE",72.68,"EUR","EasyJet","2023-03-04"
"2023-03-06 19:20:00","OPO","BSL",129.99,"EUR","EasyJet","2023-02-27"
"2023-03-06 19:20:00","OPO","BSL",166.49,"EUR","EasyJet","2023-03-04"
"2023-03-06 20:45:00","BSL","AMS",66.85,"EUR","EasyJet","2023-02-27"
"2023-03-06 20:45:00","BSL","AMS",96.79,"EUR","EasyJet","2023-03-04"
"2023-03-06 20:55:00","NCE","BSL",58.05,"EUR","EasyJet","2023-02-27"
"2023-03-06 20:55:00","NCE","BSL",84.55,"EUR","EasyJet","2023-03-04"
"2023-03-07 06:40:00","OPO","BSL",44.49,"EUR","EasyJet","2023-02-27"
